block,timestep,rel_l2,mean_cos,cos_dist,frac_tokens_cos_below_0p9,baseline_token_norm_mean,injected_token_norm_mean,norm_ratio
15,30,0.9299858212471008,0.599822998046875,0.400177001953125,1.0,40.074554443359375,38.47721862792969,0.9601408964462143
15,40,0.9210325479507446,0.49800583720207214,0.5019941627979279,1.0,38.301307678222656,48.79483413696289,1.2739730597946828
15,49,0.8681230545043945,0.501900851726532,0.498099148273468,1.0,36.234642028808594,74.86724090576172,2.0661785714962497
20,0,0.5645224452018738,0.9413697719573975,0.05863022804260254,0.06441761553287506,55.818824768066406,47.189762115478516,0.8454094530215813
20,2,0.7412813901901245,0.85187828540802,0.14812171459197998,0.9511363506317139,40.21947479248047,38.43605422973633,0.9556577858874086
20,4,0.8116674423217773,0.8263133764266968,0.17368662357330322,0.9879971742630005,38.44306182861328,35.38396072387695,0.9204251441163973
20,6,0.8488724231719971,0.8009499907493591,0.19905000925064087,0.9966619610786438,37.746826171875,33.94671630859375,0.8993263739319971
20,8,0.8720839023590088,0.7756170034408569,0.22438299655914307,0.9985795617103577,37.22244644165039,32.824554443359375,0.8818483893801791
20,10,0.8978366851806641,0.7519012689590454,0.2480987310409546,0.999218761920929,36.789093017578125,32.23796081542969,0.8762912638271928
20,12,0.9190523028373718,0.7310003638267517,0.2689996361732483,0.9994317889213562,36.44500732421875,31.74342155456543,0.8709950658583355
20,14,0.941298246383667,0.7094718813896179,0.2905281186103821,0.9997159242630005,36.19050979614258,31.25032615661621,0.8634950525053691
20,16,0.9561987519264221,0.6841556429862976,0.3158443570137024,0.9995738863945007,35.99933624267578,31.215730667114258,0.8671196173364233
20,18,0.9656396508216858,0.6648793816566467,0.33512061834335327,0.999786913394928,35.795989990234375,31.143274307250977,0.8700213156766241
20,20,0.9771669507026672,0.6435539722442627,0.3564460277557373,0.9996448755264282,35.636173248291016,31.127946853637695,0.8734929712221691
20,30,1.0930529832839966,0.5077177882194519,0.4922822117805481,1.0,34.577938079833984,31.803085327148438,0.9197507744308254
20,40,1.0712226629257202,0.3537309765815735,0.6462690234184265,1.0,33.01834487915039,40.57905197143555,1.228985042101835
